url,state,constituency,osn,candidate_name,total_votes,vote_percent,evm_votes,party,postal_votes
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,12,Munnurukapu Gopal Reddy,4735,0.48,4735,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,13,NOTA,10600,1.08,10599,None of the Above,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,1,ANUMULA REVANTH REDDY,603748,38.63,602907,Indian National Congress,841
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,2,RAJASHEKAR REDDY MARRI,592829,37.93,592485,Telangana Rashtra Samithi,344
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,3,RAMCHANDER RAO NARAPARAJU,304282,19.47,303851,Bharatiya Janata Party,431
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,4,CHAMAKURA RAJAIAH,1351,0.09,1350,Social Justice Party of India,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,5,DHARMASANAM BHANUMURTHY,720,0.05,719,Praja Satta Party,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,6,BALAMANI BURU,1236,0.08,1233,India Praja Bandhu Party,3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,7,MAHENDER REDDY BONGUNOORI,28420,1.82,28413,Janasena Party,7
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,8,CHALIKA CHANDRA SEKHAR,1180,0.08,1178,Independent,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,9,THIRUPATAIAH ENDURAM,3750,0.24,3750,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,10,DONTHULA BIKSHAPATHI,3308,0.21,3307,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,11,RAJENDER PONNALA,2680,0.17,2680,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,12,SAI KIRAN GONE,1664,0.11,1660,Independent,4
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS297.htm?ac=7,Telangana,Malkajgiri,13,NOTA,17895,1.14,17867,None of the Above,28
